DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
01-01-2004,117.144,2004,1,50091,182565279.9,4.2,177.7,5.7,72.01649163,142,1.73,79.4,109297,65820,24.183,12.3
01-02-2004,117.845,2004,2,50156,182796967.6,4,178,5.7,72.33330985,142.2,1.74,79.4,109297,65820,24.183,12.3
01-03-2004,118.687,2004,3,50221,183077355.6,4.1,178.5,5.7,72.13219044,143.2,1.73,79.4,109297,65820,24.183,12.3
01-04-2004,119.611,2004,4,50286,183259721.1,4.3,179.3,5.9,71.91508629,143.5,1.75,79.4,109297,65820,24.183,12.3
01-05-2004,120.724,2004,5,50311.33333,183508489.9,4,179.5,5.8,72.02594546,143.8,1.75,79.4,109297,65820,24.183,12.3
01-06-2004,121.813,2004,6,50336.66667,183669679.1,4.2,179.6,5.8,71.84159762,144.3,1.75,79.4,109297,65820,24.183,12.3
01-07-2004,122.888,2004,7,50362,183888022.6,4.2,180,5.8,71.74756931,144.7,1.73,79.4,109297,65820,24.183,12.3
01-08-2004,123.83,2004,8,50342,184160985.6,4,180.5,5.7,71.88887444,145.1,1.74,79.4,109297,65820,24.183,12.3
01-09-2004,124.78,2004,9,50322,184423183.2,3.9,180.8,5.7,72.07716554,145.4,1.75,79.4,109297,65820,24.183,12.3
01-10-2004,125.735,2004,10,50302,184554183.4,4,181.2,5.7,71.88980563,145,1.75,79.4,109297,65820,24.183,12.3
01-11-2004,126.67,2004,11,50355.33333,184744660.9,4,181.5,5.9,71.5418713,144.6,1.34,79.4,109297,65820,24.183,12.3
01-12-2004,127.624,2004,12,50408.66667,184859330.5,4,181.8,6,71.57026672,144.3,1.24,79.4,109297,65820,24.183,12.3
01-01-2005,128.461,2005,1,50462,185634217.7,4,182.6,5.8,71.59013641,144.4,1.24,79.6,111278,65860,25.93,12.3
01-02-2005,129.355,2005,2,50573.33333,185868643.2,4.5,183.6,5.9,71.52162914,145.2,1.26,79.6,111278,65860,25.93,12.3
01-03-2005,130.148,2005,3,50684.66667,186084693.6,4.1,183.9,5.9,71.3977215,145.2,1.25,79.6,111278,65860,25.93,12.3
01-04-2005,130.884,2005,4,50796,186470081.2,4.1,183.2,6,71.37763135,145.9,1.26,79.6,111278,65860,25.93,12.3
01-05-2005,131.735,2005,5,51034.66667,186649528.3,3.9,182.9,6.1,71.21300427,145.8,1.26,79.6,111278,65860,25.93,12.3
01-06-2005,132.649,2005,6,51273.33333,186801069.5,3.5,183.1,6.3,71.2150252,146.1,1.22,79.6,111278,65860,25.93,12.3
01-07-2005,133.777,2005,7,51512,187067405.8,3.6,183.7,6.2,70.98927008,147,1.01,79.6,111278,65860,25.93,12.3
01-08-2005,134.969,2005,8,51670,187305250.8,3.5,184.5,6.1,71.00306121,147.2,1.03,79.6,111278,65860,25.93,12.3
01-09-2005,136.294,2005,9,51828,187539775.2,3.8,185.1,6.1,70.9193816,149,1.01,79.6,111278,65860,25.93,12.3
01-10-2005,137.531,2005,10,51986,187738373.1,3.8,184.9,6,71.05644527,149.6,1.01,79.6,111278,65860,25.93,12.3
01-11-2005,138.794,2005,11,52050.33333,187972124.7,4.1,185,5.8,71.13844425,150.2,1,79.6,111278,65860,25.93,12.3
01-12-2005,140.179,2005,12,52114.66667,188135255.1,4,185.5,5.7,71.11784224,149.7,0.98,79.6,111278,65860,25.93,12.3
01-01-2006,141.646,2006,1,52179,187687969.2,3.8,186.3,5.7,71.27880507,150,1,79.8,112000,65760,27.201,12.3
01-02-2006,143.192,2006,2,52275.66667,187875451.4,3.7,186.7,5.6,71.20973182,153.4,1.01,79.8,112000,65760,27.201,12.3
01-03-2006,145.059,2006,3,52372.33333,188057722,3.6,187.1,5.8,71.0497805,156.5,1,79.8,112000,65760,27.201,12.3
01-04-2006,146.593,2006,4,52469,188320169.7,4,187.4,5.6,71.1817589,160.1,1,79.8,112000,65760,27.201,12.3
01-05-2006,148.186,2006,5,52591,188475810.3,3.8,188.2,5.6,71.1320428,162.7,1,79.8,112000,65760,27.201,12.3
01-06-2006,149.85,2006,6,52713,188689461.4,3.9,188.9,5.6,71.10645004,162,1.03,79.8,112000,65760,27.201,12.3
01-07-2006,151.338,2006,7,52835,188840548.7,4.5,189.1,5.5,71.3041418,162.2,1.26,79.8,112000,65760,27.201,12.3
01-08-2006,152.633,2006,8,52970.66667,189071375,4.3,189.2,5.4,71.26478443,165.9,1.43,79.8,112000,65760,27.201,12.3
01-09-2006,154.179,2006,9,53106.33333,189217846.5,4.1,189.8,5.4,71.15215909,167.2,1.61,79.8,112000,65760,27.201,12.3
01-10-2006,155.75,2006,10,53242,189444673,3.9,190.8,5.5,71.22420183,165.9,1.76,79.8,112000,65760,27.201,12.3
01-11-2006,157.527,2006,11,53401,189654575.5,4.3,191.7,5.4,71.36346368,165.5,1.93,79.8,112000,65760,27.201,12.3
01-12-2006,159.33,2006,12,53560,189810239.2,4.1,191.7,5.4,71.29992527,166.3,2.16,79.8,112000,65760,27.201,12.3
01-01-2007,161.288,2007,1,53719,189989658.1,4.4,191.6,5.3,71.31026752,168.6,2.28,79.9,113343,66780,27.651,12.4
01-02-2007,163.344,2007,2,53768.66667,190144268.6,4.3,192.4,5.4,71.22446248,170.4,2.5,79.9,113343,66780,27.651,12.4
01-03-2007,165.812,2007,3,53818.33333,190460460.1,4.1,193.1,5.2,71.26540653,170,2.63,79.9,113343,66780,27.651,12.4
01-04-2007,167.501,2007,4,53868,190466068.2,4.3,193.7,5.2,71.43664377,170,2.79,79.9,113343,66780,27.651,12.4
01-05-2007,169.351,2007,5,53963,190710241.8,4.2,193.6,5.1,71.52861591,168.1,3,79.9,113343,66780,27.651,12.4
01-06-2007,171.19,2007,6,54058,190962535,4.3,193.7,5,71.49436018,167.8,3.04,79.9,113343,66780,27.651,12.4
01-07-2007,172.86,2007,7,54153,191115008.9,4.2,194.9,5,71.62813054,167.2,3.26,79.9,113343,66780,27.651,12.4
01-08-2007,174.442,2007,8,54207.66667,191266347.3,4.5,196.1,4.9,71.82455723,165.9,3.5,79.9,113343,66780,27.651,12.4
01-09-2007,176.438,2007,9,54262.33333,191439119.3,4.7,198.8,5,71.6869796,168.9,3.62,79.9,113343,66780,27.651,12.4
01-10-2007,178.028,2007,10,54317,191655296.7,4.5,199.1,5,71.69383334,171.6,3.78,79.9,113343,66780,27.651,12.4
01-11-2007,179.68,2007,11,54520.33333,191932179,5,198.1,5,71.55741564,172.7,4,79.9,113343,66780,27.651,12.4
01-12-2007,180.91,2007,12,54723.66667,192145059,4.9,198.1,4.9,71.62729227,173.5,4.16,79.9,113343,66780,27.651,12.4
01-01-2008,182.321,2008,1,54927,192350560.4,5.3,199.3,4.7,71.69053174,177.2,4.29,80.1,114384,67520,28.604,12.4
01-02-2008,183.287,2008,2,54933,192542668.3,6.1,199.4,4.8,71.77418071,177.7,4.49,80.1,114384,67520,28.604,12.4
01-03-2008,184.364,2008,3,54939,192688773.1,5.9,199.7,4.7,71.84192897,178.3,4.59,80.1,114384,67520,28.604,12.4
01-04-2008,184.329,2008,4,54945,192815179.5,6.3,200.7,4.7,71.78923008,179,4.79,80.1,114384,67520,28.604,12.4
01-05-2008,184.156,2008,5,54925.33333,192912881.3,6.2,201.3,4.6,71.86865954,179.9,4.94,80.1,114384,67520,28.604,12.4
01-06-2008,183.507,2008,6,54905.66667,193147759.2,6.3,201.8,4.6,72.00663577,180.7,4.99,80.1,114384,67520,28.604,12.4
01-07-2008,183.068,2008,7,54886,193315722.2,7.3,202.9,4.7,72.00678762,182.3,5.24,80.1,114384,67520,28.604,12.4
01-08-2008,182.594,2008,8,54996,193456189.2,6.7,203.8,4.7,72.09661576,182.6,5.25,80.1,114384,67520,28.604,12.4
01-09-2008,182.798,2008,9,55106,193557903.1,6.7,202.8,4.5,72.05087304,183.3,5.25,80.1,114384,67520,28.604,12.4
01-10-2008,183.198,2008,10,55216,193702904.6,7.3,201.9,4.4,72.24331476,182.3,5.25,80.1,114384,67520,28.604,12.4
01-11-2008,183.609,2008,11,55230.66667,193948914.7,6.6,202,4.5,72.17935887,179.8,5.25,80.1,114384,67520,28.604,12.4
01-12-2008,184.139,2008,12,55245.33333,194181049.4,6.5,203.1,4.4,72.32554855,179.8,5.24,80.1,114384,67520,28.604,12.4
01-01-2009,184.517,2009,1,55260,194950822.5,7.2,203.437,4.6,72.13897867,181.1,5.25,80.3,116011,68610,29.512,12.5
01-02-2009,184.598,2009,2,55331.33333,195126880.6,7.9,204.226,4.5,71.97543133,181.5,5.26,80.3,116011,68610,29.512,12.5
01-03-2009,184.15,2009,3,55402.66667,195232897.8,7.9,205.288,4.4,72.0188718,182.5,5.26,80.3,116011,68610,29.512,12.5
01-04-2009,183.01,2009,4,55474,195285714.7,7.4,205.904,4.5,71.70474365,183.7,5.25,80.3,116011,68610,29.512,12.5
